"Mission","Index","Title","Description","Latitude","Longitude","Image"
"11","2","Solace in the Wind","","-41.289393","174.782815","https://lh3.googleusercontent.com/NpvBRF_lEbJoKgEfcIt1KyXg6wI_eBP26ZVgcBnU2Nncu3h6BA0X9U76akJlgfGVk7D1wv8JEYaLr6bbUWf5eXCw3rvfAjhbI7EzPcbYXYU"
"11","3","I Saw The Maori Jesus","","-41.289562","174.782325","https://lh3.googleusercontent.com/GKHjdgRi4UL33rKpXY2s6TZmjxXc7vfnuSEk2PaXBStaNCRtRmjV7akO40YAsN3AezKyx0aJ6OG1VGoqReaMr0HubnpDMB5DLTGb4S7PAe0"
"11","4","Yet I Think, Having Used My Words","","-41.289688","174.781413","https://lh3.googleusercontent.com/3QTKruO9CupLX1xVVogl1ip6bvWR-NeRGbaxIjaM8ZNp3tb9TeqbXGkRyE1tVzZftjiejrkwEBG9nAw4MOpG1qGZPXA4XBVFg-e4IpMHzoR_"
"11","5","Blue Rain","","-41.289929","174.780804","https://lh3.googleusercontent.com/9-svCKyb6iXrUyBYuA73iZ_lvxm1UeJ2HNGudK0Y-kEEowsCcRT5yk915jVXbG7SnbmkgPIA4sDaoOhZV7tqU556QsTBR9D42fOE2jL4q0gx"
"11","6","I Live at the Edge of the Universe","","-41.289662","174.780585","https://lh3.googleusercontent.com/iuPWv9z2VIe1xcw0loJb-e5nDtBlJqjz_OjkgM-oJmxGlIo_jcKYI_zpN9HIb7zOdipKgSuRKIugFFnDsuCmRS8WLBWH5FL8QtFuDOt8DYM"
"12","1","Urban Forest","","-41.289523","174.779809","https://lh3.googleusercontent.com/Ng0BxuktUkHOgz66eCYAVjgz9l087c-7LFZ_MbryQfcoL-DUZnUsVhJ-hMOurPcb0kQEpelaKQJZT-b4QMvj816N5FFHD5pK1BCw25cPWA"
"12","2","Kupe Statue","","-41.288844","174.780053","https://lh3.googleusercontent.com/9FcSKIXpjJ5zU4S8z-yP6DDEuiTKcmAzrTE5hfrBgjJB18oG3TDLFxe1dpndSuFfhloJiG6Qq4gtlJuCYXuoQg0b5pY_p2uEpwwDYVNo_eGtag"
"12","3","I Love This City","","-41.288453","174.779892","https://lh3.googleusercontent.com/Jh5E53p4HF1usq48LTnoOcxIX2606Tr2YWEx5xnDYkzNnCDpnx_dKKCo58Ww0-WvSKo82MFWG8WHSNioYtElZAaF31VMQcGLv4jwKhxmrucr"
"12","4","Anchors Away","","-41.288228","174.779652","https://lh3.googleusercontent.com/ZyyDyK5LsC7N7oI3onpk7y4kxVy0HjfNe0cwUnmLb88vLW2AnJp5OMh2CgS_yiDfOZiIidkMDlrA1FGZN759J4rKFh0-BTp-zevzqzDwdQM"
"12","5","Fruits of the Garden","","-41.287645","174.779209","https://lh3.googleusercontent.com/SutNpnc_Rr2PpofW0NQ1IKhjVs4zsQFH2pECqfHmr2X15kf8LUYvNFfAwWbKidN1QYBLtelD71k1Yqbu-fiPZ4DnX4M0k56DLBPZnbkoJfnT"
